frame.number;frame.time;frame.len;frame.protocols;ip.proto;ip.src;tcp.srcport;udp.srcport;ip.dst;tcp.dstport;udp.dstport
43;May 20, 2017 17:08:31.947894000 JST;117;eth:ethertype:ip:tcp:ssl;6;172.217.26.33;443;;192.168.3.13;61632;
44;May 20, 2017 17:08:31.947992000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
45;May 20, 2017 17:08:31.948240000 JST;122;eth:ethertype:ip:tcp:ssl;6;172.217.26.33;443;;192.168.3.13;61632;
46;May 20, 2017 17:08:31.948244000 JST;108;eth:ethertype:ip:tcp:ssl;6;172.217.26.33;443;;192.168.3.13;61632;
47;May 20, 2017 17:08:31.948304000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
48;May 20, 2017 17:08:31.948326000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
49;May 20, 2017 17:08:31.951334000 JST;119;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61632;;172.217.26.33;443;
50;May 20, 2017 17:08:31.951403000 JST;116;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61632;;172.217.26.33;443;
51;May 20, 2017 17:08:31.951404000 JST;108;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61632;;172.217.26.33;443;
52;May 20, 2017 17:08:31.951440000 JST;398;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61632;;172.217.26.33;443;
53;May 20, 2017 17:08:31.951519000 JST;104;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61632;;172.217.26.33;443;
54;May 20, 2017 17:08:31.966868000 JST;66;eth:ethertype:ip:tcp;6;172.217.26.33;443;;192.168.3.13;61632;
55;May 20, 2017 17:08:31.966873000 JST;104;eth:ethertype:ip:tcp:ssl;6;172.217.26.33;443;;192.168.3.13;61632;
56;May 20, 2017 17:08:31.966985000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
57;May 20, 2017 17:08:31.969793000 JST;66;eth:ethertype:ip:tcp;6;172.217.26.33;443;;192.168.3.13;61632;
58;May 20, 2017 17:08:31.970427000 JST;431;eth:ethertype:ip:tcp:ssl;6;172.217.26.33;443;;192.168.3.13;61632;
59;May 20, 2017 17:08:31.970433000 JST;284;eth:ethertype:ip:tcp:ssl;6;172.217.26.33;443;;192.168.3.13;61632;
60;May 20, 2017 17:08:31.970434000 JST;112;eth:ethertype:ip:tcp:ssl;6;172.217.26.33;443;;192.168.3.13;61632;
61;May 20, 2017 17:08:31.970550000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
62;May 20, 2017 17:08:31.970551000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
63;May 20, 2017 17:08:31.970551000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
64;May 20, 2017 17:08:31.971315000 JST;112;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61632;;172.217.26.33;443;
65;May 20, 2017 17:08:31.990922000 JST;66;eth:ethertype:ip:tcp;6;172.217.26.33;443;;192.168.3.13;61632;
66;May 20, 2017 17:08:32.126195000 JST;84;eth:ethertype:ip:udp:dns;17;192.168.3.13;;51731;192.168.3.1;;53
67;May 20, 2017 17:08:32.141826000 JST;281;eth:ethertype:ip:udp:dns;17;192.168.3.1;;53;192.168.3.13;;51731
68;May 20, 2017 17:08:32.142284000 JST;84;eth:ethertype:ip:udp:dns;17;192.168.3.13;;51731;192.168.3.1;;53
69;May 20, 2017 17:08:32.164378000 JST;246;eth:ethertype:ip:udp:dns;17;192.168.3.1;;53;192.168.3.13;;51731
70;May 20, 2017 17:08:32.669166000 JST;78;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
71;May 20, 2017 17:08:32.684017000 JST;74;eth:ethertype:ip:tcp;6;172.217.25.194;443;;192.168.3.13;61633;
